pmid,title,journal,year,compound,endpoint,activity,evidence
40915206,Network toxicology and molecular docking to investigate the association of perfl,Ecotoxicology and environmental safety,2025,PFOS,hepatotoxicity,1.0,"positive_kw=4, negative_kw=0"
40995116,Analysis of the effects of perfluorooctane sulfonate on COPD using network toxic,iScience,2025,PFOS,NR-AR,1.0,"positive_kw=3, negative_kw=0"
40995116,Analysis of the effects of perfluorooctane sulfonate on COPD using network toxic,iScience,2025,PFOS,immunotoxicity,1.0,"positive_kw=3, negative_kw=0"
40705188,Integrated network toxicology and bioinformatics reveal PFAS-driven prognostic b,Discover oncology,2025,PFOS,NR-AR,1.0,"positive_kw=3, negative_kw=0"
40705188,Integrated network toxicology and bioinformatics reveal PFAS-driven prognostic b,Discover oncology,2025,PFOS,hepatotoxicity,1.0,"positive_kw=3, negative_kw=0"
40705188,Integrated network toxicology and bioinformatics reveal PFAS-driven prognostic b,Discover oncology,2025,PFOS,immunotoxicity,1.0,"positive_kw=3, negative_kw=0"
40050647,Integrated computational analysis of molecular mechanisms underlying perfluorooc,Scientific reports,2025,PFOS,NR-AR,1.0,"positive_kw=2, negative_kw=0"
40050647,Integrated computational analysis of molecular mechanisms underlying perfluorooc,Scientific reports,2025,PFOS,endocrine,1.0,"positive_kw=2, negative_kw=0"
41134653,Exploring the Association Between Per- and Polyfluoroalkyl Substances Exposure a,Brain and behavior,2025,PFOS,NR-AR,1.0,"positive_kw=5, negative_kw=0"
41134653,Exploring the Association Between Per- and Polyfluoroalkyl Substances Exposure a,Brain and behavior,2025,PFOS,hepatotoxicity,1.0,"positive_kw=5, negative_kw=0"
40570396,Mitochondrial and inflammatory dysfunctions underlie perfluorooctane sulfonic ac,The Science of the total environment,2025,PFOS,SR-MMP,1.0,"positive_kw=5, negative_kw=1"
40570396,Mitochondrial and inflammatory dysfunctions underlie perfluorooctane sulfonic ac,The Science of the total environment,2025,PFOS,hepatotoxicity,1.0,"positive_kw=5, negative_kw=1"
38146916,Assessing Contamination Profiles in Livers from Road-Killed Owls.,Environmental toxicology and chemistry,2024,PFOS,NR-AR,1.0,"positive_kw=1, negative_kw=0"
38146916,Assessing Contamination Profiles in Livers from Road-Killed Owls.,Environmental toxicology and chemistry,2024,PFOS,hepatotoxicity,1.0,"positive_kw=1, negative_kw=0"
40737503,A systems toxicology approach implicates post-transcriptional regulatory network,Toxicological sciences : an official journal of the Society of Toxicology,2025,PFOS,NR-AR,1.0,"positive_kw=4, negative_kw=1"
40737503,A systems toxicology approach implicates post-transcriptional regulatory network,Toxicological sciences : an official journal of the Society of Toxicology,2025,PFOS,hepatotoxicity,1.0,"positive_kw=4, negative_kw=1"
40737503,A systems toxicology approach implicates post-transcriptional regulatory network,Toxicological sciences : an official journal of the Society of Toxicology,2025,PFOS,developmental,1.0,"positive_kw=4, negative_kw=1"
39894319,Evaluation of the causal effects of perfluorooctanesulfonate on COVID-19 and its,Toxicology letters,2025,PFOS,NR-AR,1.0,"positive_kw=3, negative_kw=1"
37741269,Serum albumin mitigated perfluorooctane sulfonate-induced cytotoxicity by affect,Biophysical chemistry,2023,PFOS,NR-AR,1.0,"positive_kw=3, negative_kw=0"
37741269,Serum albumin mitigated perfluorooctane sulfonate-induced cytotoxicity by affect,Biophysical chemistry,2023,PFOS,hepatotoxicity,1.0,"positive_kw=3, negative_kw=0"
37741269,Serum albumin mitigated perfluorooctane sulfonate-induced cytotoxicity by affect,Biophysical chemistry,2023,PFOS,developmental,1.0,"positive_kw=3, negative_kw=0"
41043219,Microbiota modulates compound-specific toxicity of environmental chemicals: A mu,Environment international,2025,PFOS,hepatotoxicity,1.0,"positive_kw=4, negative_kw=0"
41043219,Microbiota modulates compound-specific toxicity of environmental chemicals: A mu,Environment international,2025,PFOS,immunotoxicity,1.0,"positive_kw=4, negative_kw=0"
41043219,Microbiota modulates compound-specific toxicity of environmental chemicals: A mu,Environment international,2025,PFOS,developmental,1.0,"positive_kw=4, negative_kw=0"
41463487,Multi-Organ Toxicity of Combined PFOS/PS Exposure and Its Application in Network,Biology,2025,PFOS,NR-AR,1.0,"positive_kw=3, negative_kw=0"
41463487,Multi-Organ Toxicity of Combined PFOS/PS Exposure and Its Application in Network,Biology,2025,PFOS,hepatotoxicity,1.0,"positive_kw=3, negative_kw=0"
41463487,Multi-Organ Toxicity of Combined PFOS/PS Exposure and Its Application in Network,Biology,2025,PFOS,immunotoxicity,1.0,"positive_kw=3, negative_kw=0"
37059384,Investigating fatty liver disease-associated adverse outcome pathways of perfluo,Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,2023,PFOS,NR-AR,1.0,"positive_kw=3, negative_kw=0"
37059384,Investigating fatty liver disease-associated adverse outcome pathways of perfluo,Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,2023,PFOS,hepatotoxicity,1.0,"positive_kw=3, negative_kw=0"
38501493,Per- and Polyfluoroalkyl Substances in Water (2008-2022) and Fish (2015-2022) in,Environmental toxicology and chemistry,2024,PFOA,hepatotoxicity,1.0,"positive_kw=2, negative_kw=0"
38501493,Per- and Polyfluoroalkyl Substances in Water (2008-2022) and Fish (2015-2022) in,Environmental toxicology and chemistry,2024,PFOS,hepatotoxicity,1.0,"positive_kw=2, negative_kw=0"
40697017,"Commentary on ""Mechanistic insights into PFOS-induced inflammatory bowel disease","International journal of surgery (London, England)",2025,PFOS,NR-AR,1.0,"positive_kw=1, negative_kw=0"
40958282,Machine learning and SHAP-based identification of RNASE1 linking environmental e,Medicine,2025,PFOA,NR-AR,1.0,"positive_kw=1, negative_kw=0"
40958282,Machine learning and SHAP-based identification of RNASE1 linking environmental e,Medicine,2025,PFOA,hepatotoxicity,1.0,"positive_kw=1, negative_kw=0"
40958282,Machine learning and SHAP-based identification of RNASE1 linking environmental e,Medicine,2025,PFOA,endocrine,1.0,"positive_kw=1, negative_kw=0"
40958282,Machine learning and SHAP-based identification of RNASE1 linking environmental e,Medicine,2025,PFOS,NR-AR,1.0,"positive_kw=1, negative_kw=0"
40958282,Machine learning and SHAP-based identification of RNASE1 linking environmental e,Medicine,2025,PFOS,hepatotoxicity,1.0,"positive_kw=1, negative_kw=0"
40958282,Machine learning and SHAP-based identification of RNASE1 linking environmental e,Medicine,2025,PFOS,endocrine,1.0,"positive_kw=1, negative_kw=0"
38752651,Considerations and challenges in support of science and communication of fish co,Integrated environmental assessment and management,2024,PFOS,hepatotoxicity,1.0,"positive_kw=4, negative_kw=0"
38668455,Perfluorooctanesulfonic Acid Alters Pro-Cancer Phenotypes and Metabolic and Tran,Toxics,2024,PFOS,NR-AR,1.0,"positive_kw=4, negative_kw=0"
38668455,Perfluorooctanesulfonic Acid Alters Pro-Cancer Phenotypes and Metabolic and Tran,Toxics,2024,PFOS,hepatotoxicity,1.0,"positive_kw=4, negative_kw=0"
38668455,Perfluorooctanesulfonic Acid Alters Pro-Cancer Phenotypes and Metabolic and Tran,Toxics,2024,PFOS,endocrine,1.0,"positive_kw=4, negative_kw=0"
39547089,The impact of high exposure to perfluoroalkyl substances and risk for hormone re,Environment international,2024,PFOS,NR-AR,1.0,"positive_kw=3, negative_kw=0"
39547089,The impact of high exposure to perfluoroalkyl substances and risk for hormone re,Environment international,2024,PFOS,hepatotoxicity,1.0,"positive_kw=3, negative_kw=0"
39547089,The impact of high exposure to perfluoroalkyl substances and risk for hormone re,Environment international,2024,PFOS,endocrine,1.0,"positive_kw=3, negative_kw=0"
39547089,The impact of high exposure to perfluoroalkyl substances and risk for hormone re,Environment international,2024,PFHxS,NR-AR,1.0,"positive_kw=3, negative_kw=0"
39547089,The impact of high exposure to perfluoroalkyl substances and risk for hormone re,Environment international,2024,PFHxS,hepatotoxicity,1.0,"positive_kw=3, negative_kw=0"
