pmid,title,journal,year,compound,endpoint,activity
39848516,Per- and polyfluoroalkyl substances (PFAS) exposure in the U.S. population: NHANES 1999-March 2020.,Environmental research,2025,PFNA,hepatotoxicity,
39848516,Per- and polyfluoroalkyl substances (PFAS) exposure in the U.S. population: NHANES 1999-March 2020.,Environmental research,2025,PFHxS,hepatotoxicity,
36842602,Perfluorinated compound correlation between human serum and drinking water: Is drinking water a sign,The Science of the total environment,2023,PFOA,hepatotoxicity,1.0
36842602,Perfluorinated compound correlation between human serum and drinking water: Is drinking water a sign,The Science of the total environment,2023,PFOS,hepatotoxicity,1.0
36842602,Perfluorinated compound correlation between human serum and drinking water: Is drinking water a sign,The Science of the total environment,2023,PFNA,hepatotoxicity,1.0
36842602,Perfluorinated compound correlation between human serum and drinking water: Is drinking water a sign,The Science of the total environment,2023,PFHxS,hepatotoxicity,1.0
40914107,Assessing the impact of perfluoroalkyl substances on liver health: a comprehensive study using multi,Environment international,2025,PFOA,hepatotoxicity,1.0
40914107,Assessing the impact of perfluoroalkyl substances on liver health: a comprehensive study using multi,Environment international,2025,PFOA,immunotoxicity,1.0
40914107,Assessing the impact of perfluoroalkyl substances on liver health: a comprehensive study using multi,Environment international,2025,PFOS,hepatotoxicity,1.0
40914107,Assessing the impact of perfluoroalkyl substances on liver health: a comprehensive study using multi,Environment international,2025,PFOS,immunotoxicity,1.0
40914107,Assessing the impact of perfluoroalkyl substances on liver health: a comprehensive study using multi,Environment international,2025,PFNA,hepatotoxicity,1.0
40914107,Assessing the impact of perfluoroalkyl substances on liver health: a comprehensive study using multi,Environment international,2025,PFNA,immunotoxicity,1.0
40914107,Assessing the impact of perfluoroalkyl substances on liver health: a comprehensive study using multi,Environment international,2025,PFHxS,hepatotoxicity,1.0
40914107,Assessing the impact of perfluoroalkyl substances on liver health: a comprehensive study using multi,Environment international,2025,PFHxS,immunotoxicity,1.0
37755796,Per- and Polyfluoroalkyl Substances (PFAS) in Community Water Systems (CWS) and the Risk of Thyroid ,Toxics,2023,PFOA,hepatotoxicity,1.0
37755796,Per- and Polyfluoroalkyl Substances (PFAS) in Community Water Systems (CWS) and the Risk of Thyroid ,Toxics,2023,PFOA,endocrine,1.0
41517124,"Occurrence, Sources, and Risk Assessment of PFAS in Soil-Mango Systems of the Chinese Tropical Nanfa","Foods (Basel, Switzerland)",2025,PFHxA,hepatotoxicity,
41517124,"Occurrence, Sources, and Risk Assessment of PFAS in Soil-Mango Systems of the Chinese Tropical Nanfa","Foods (Basel, Switzerland)",2025,PFHxA,BCF,
37878255,"Per- and Poly-fluoroalkyl Substances (PFAS) Exposure and Risk of Kidney, Liver, and Testicular Cance",La Medicina del lavoro,2023,PFOA,hepatotoxicity,1.0
37878255,"Per- and Poly-fluoroalkyl Substances (PFAS) Exposure and Risk of Kidney, Liver, and Testicular Cance",La Medicina del lavoro,2023,PFOS,hepatotoxicity,1.0
28073048,Perfluoroalkyl substances and fish consumption.,Environmental research,2017,PFOA,hepatotoxicity,1.0
28073048,Perfluoroalkyl substances and fish consumption.,Environmental research,2017,PFOA,endocrine,1.0
28073048,Perfluoroalkyl substances and fish consumption.,Environmental research,2017,PFOS,hepatotoxicity,1.0
28073048,Perfluoroalkyl substances and fish consumption.,Environmental research,2017,PFOS,endocrine,1.0
28073048,Perfluoroalkyl substances and fish consumption.,Environmental research,2017,PFNA,hepatotoxicity,1.0
28073048,Perfluoroalkyl substances and fish consumption.,Environmental research,2017,PFNA,endocrine,1.0
28073048,Perfluoroalkyl substances and fish consumption.,Environmental research,2017,PFDA,hepatotoxicity,1.0
28073048,Perfluoroalkyl substances and fish consumption.,Environmental research,2017,PFDA,endocrine,1.0
28073048,Perfluoroalkyl substances and fish consumption.,Environmental research,2017,PFHxS,hepatotoxicity,1.0
28073048,Perfluoroalkyl substances and fish consumption.,Environmental research,2017,PFHxS,endocrine,1.0
39706014,Effects of mixed exposure to PFAS on adolescent non-alcoholic fatty liver disease: Integrating evide,Journal of hazardous materials,2025,PFOA,hepatotoxicity,1.0
40609510,"Per- and polyfluoroalkyl substances, genetic factors, and sleep health in reproductive-aged women: a",Environment international,2025,PFOS,hepatotoxicity,1.0
