pmid,title,journal,year,compounds,endpoints,values,source
41134653,"Exploring the Association Between Per- and Polyfluoroalkyl Substances Exposure and the Risk of Stroke: A Systematic Investigation Using NHANES Data Analysis, Network Toxicology and Molecular Docking Approaches.",Brain and behavior,2025,PFOS,toxicity,,PMID:41134653
37850740,Establishing Chronic Toxicity Effect Levels for Zebrafish (Danio rerio) Exposed to Perfluorooctane Sulfonate.,Environmental toxicology and chemistry,2024,PFOS,toxicity,,PMID:37850740
40570396,Mitochondrial and inflammatory dysfunctions underlie perfluorooctane sulfonic acid (PFOS)-induced neurotoxicity in adult zebrafish.,The Science of the total environment,2025,PFOS; FOSA,SR-MMP; toxicity,,PMID:40570396
41436509,Identifying toxicological effects of perfluoroalkyl and polyfluoroalkyl substances exposure on osteoarthritis.,Scientific reports,2025,,BCF; toxicity,,PMID:41436509
38146916,Assessing Contamination Profiles in Livers from Road-Killed Owls.,Environmental toxicology and chemistry,2024,PFOS,toxicity,,PMID:38146916
40737503,A systems toxicology approach implicates post-transcriptional regulatory networks in reproductive defects from PFAS exposure.,Toxicological sciences : an official journal of the Society of Toxicology,2025,PFOS,toxicity,,PMID:40737503
39894319,Evaluation of the causal effects of perfluorooctanesulfonate on COVID-19 and its associated mechanisms: Integrated Mendelian randomization and network toxicology analyses.,Toxicology letters,2025,PFOS,toxicity,,PMID:39894319
37741269,Serum albumin mitigated perfluorooctane sulfonate-induced cytotoxicity by affecting the cellular responses.,Biophysical chemistry,2023,PFOS,toxicity,,PMID:37741269
41043219,Microbiota modulates compound-specific toxicity of environmental chemicals: A multi-omics analysis in zebrafish embryos.,Environment international,2025,PFOS,toxicity,,PMID:41043219
41463487,Multi-Organ Toxicity of Combined PFOS/PS Exposure and Its Application in Network Toxicology.,Biology,2025,PFOS,toxicity,,PMID:41463487
37059384,Investigating fatty liver disease-associated adverse outcome pathways of perfluorooctane sulfonate using a systems toxicology approach.,Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,2023,PFOS,toxicity,,PMID:37059384
38501493,"Per- and Polyfluoroalkyl Substances in Water (2008-2022) and Fish (2015-2022) in The Netherlands: Spatiotemporal Trends, Fingerprints, Mass Discharges, Sources, and Bioaccumulation Factors.",Environmental toxicology and chemistry,2024,PFOS,BCF; toxicity,,PMID:38501493
40697017,"Commentary on ""Mechanistic insights into PFOS-induced inflammatory bowel disease: a network toxicology and molecular docking study"".","International journal of surgery (London, England)",2025,PFOS,toxicity,,PMID:40697017
40958282,Machine learning and SHAP-based identification of RNASE1 linking environmental endocrine-disrupting chemicals exposure to atherosclerosis.,Medicine,2025,PFOS,toxicity,,PMID:40958282
38752651,Considerations and challenges in support of science and communication of fish consumption advisories for per- and polyfluoroalkyl substances.,Integrated environmental assessment and management,2024,PFOS,BCF; toxicity,,PMID:38752651
39181731,Per- and polyfluoroalkyl substances as persistent pollutants with metabolic and endocrine-disrupting impacts.,Trends in endocrinology and metabolism: TEM,2025,,toxicity,,PMID:39181731
36274037,Environmental toxicants and placental function.,Best practice & research. Clinical obstetrics & gynaecology,2022,,toxicity,,PMID:36274037
38668455,Perfluorooctanesulfonic Acid Alters Pro-Cancer Phenotypes and Metabolic and Transcriptional Signatures in Testicular Germ Cell Tumors.,Toxics,2024,PFOS,toxicity,,PMID:38668455
41240996,Ophthalmotoxicology of polyhalogenated compounds.,Toxicology,2026,,SR-MMP; toxicity,,PMID:41240996
37368643,Poly- and Perfluoroalkyl Substances (PFAS): Do They Matter to Aquatic Ecosystems?,Toxics,2023,,BCF; toxicity,,PMID:37368643
41356495,Persistent pollutants and the developing brain: the role of PFAS in neurodevelopmental disorders.,Frontiers in cellular neuroscience,2025,,BCF,,PMID:41356495
